[Result Details]
Result Name,[68.65] FSAE No Aero EV - Brammo - 150V, FSAE Endurance Nebraska 2012
Date Created,10/13/2014 3:30:33 PM
Track,FSAE Endurance Nebraska 2012
Track Configuration,Closed Circuit
Vehicle,FSAE No Aero EV - Brammo - 150V

[KPI Values]
Lap time [s],68.6503958429827,
Percent in Corners [%],75.0711079718353,
Percent Accelerating [%],51.3065650792375,
Percent Braking [%],48.1137713985426,
Percent Coasting [%],0.183226276382094,
Percent 100% Throttle [%],17.975938776835,
Percent TCS Enabled [%],80.6808717805412,
Lowest Speed [km/h],39.2403521382447,
Highest Speed [km/h],97.4935061602891,
Average Speed [km/h],64.6477213217595,
Energy Spent [kJ],723.21798000137,
Fuel Consumption [kg],1.03553548110162,
Gear Shifts [-],0,
Maximum Lateral Acceleration [m/s^2],-14.709483134519,
Maximum Longitudinal Acceleration [m/s^2],6.34470958318067,
Maximum Longitudinal Deceleration [m/s^2],-15.3298521192496,
Time in Sector 1 [s],68.6503958429827,
Maximum Speed in Sector 1 [km/h],97.4935061602891,
Minimum Speed in Sector 1 [km/h],39.2403521382447,
Percent in Gear 1 [%],100,

[Vehicle Parameters]
Vehicle Mass [kg],259,
Drag Coefficient [-],0.6,
Downforce Coefficient [-],-0.01,
Frontal Area [m^2],1.3,
Drivetrain Efficiency [%],95,
Tire Rolling Radius [m],0.25,
Air Density [kg/m^3],1.23,
Final Drive Ratio [-],6,
Longitudinal Friction [-],1.4,
Lateral Friction [-],1.5,
Fuel Energy Density [J/kg],720000,
Engine Thermal Efficiency [%],97,
Tire Rolling Drag [-],0.03,
Power Scaling Factor [%],100,
Aero Scaling Factor [%],100,
Grip Scaling Factor [%],100,
Mass Lateral Friction [kg],0,
Load Sensitivity Lateral Friction [-],0,
Mass Longitudinal Friction [kg],0,
Load Sensitivity Longitudinal Friction [-],0,
Aero Efficiency [-],0.0166666666666667,
Rev Limit [rpm],8000,
Torque Data [N.m],0,
RPM Data [rpm],0,
Gear Ratio Data [-],0,
Gear Shift Points [rpm],0,

[Vehicle KPIs]
Shift Point [1 to 2] [rpm],5000,
Shift Point [2 to 3] [rpm],5000,
Shift Point [3 to 4] [rpm],5000,
Shift Point [4 to 5] [rpm],5000,
Shift Speed [1 to 2] [km/h],23.9622827599947,
Shift Speed [2 to 3] [km/h],35.0265314509219,
Shift Speed [3 to 4] [km/h],43.8281855623039,
Shift Speed [4 to 5] [km/h],51.1602826218641,
Top Speed [km/h],125.663706143592,
Acceleration Time To Speed [27.778 km/h] [s],0,
Acceleration Time For Distance [100 m] [s],6.03885612692682,
Deceleration Time For Speed [27.778 km/h] [s],0,
Deceleration Distance For Speed [27.778 km/h] [m],0,

[Simulation Results]
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
75.0776239827073,0,0.25,0,5.66134508546288,1,6,4779.589988977,0,0,-3.47723871412005,0,0,0,0,0,1,0,0,0,0,0,0,0.25,-4.59227382683391E-17,0,2537.31276128588,
75.3218013792865,0.0119875930038396,0.5,0,5.65810455723867,1,6,4795.13480483976,76.6389215612819,51.6077299770293,-3.49989376815975,209.993626089585,0,100,0,0,1,0,1.5,1.4,0,0,0,0.493830404279482,-0.000488623203799598,0,2537.29010623184,
75.5644906534815,0.0239363247590456,0.75,0,5.64191151475169,1,6,4810.58488388916,76.5153209288867,51.690512392081,-3.52248364355881,211.349018613528,0,100,0,0,1,0,1.5,1.4,0,3.99511834324863E-06,3.50135749257888E-05,0.737660808558964,-0.00097724640759915,0,2537.26751635644,
75.8057096805205,0.035846680962294,1,0,5.62580028214052,1,6,4825.94136409759,76.3924690872192,51.7722618160935,-3.54500867540417,212.70052052425,0,100,0,0,1,0,1.5,1.4,0,5.33946063979673E-06,1.18198980525135E-05,0.981491212838446,-0.0014658696113987,0,2537.2449913246,
76.0454759832583,0.0477191375858518,1.25,0,5.6097699804039,1,6,4841.20536100463,76.270357111963,51.8529938188342,-3.56746919506751,214.04815170405,0,100,0,0,1,0,1.5,1.4,8.53773646251594E-07,9.79525360787024E-06,3.93018532958623E-05,1.22532161711793,-0.00195449281519825,0,2537.22253080493,
76.2838067418811,0.0595541611472553,1.5,0,5.59381974719907,1,6,4856.37796833489,76.1489762533209,51.9327236446503,-3.58986553027825,215.391931816695,0,100,0,0,1,0,1.5,1.4,1.70754729250319E-06,1.13056398703781E-05,1.33643400644964E-05,1.46915202139741,-0.00244311601899781,0,2537.20013446972,
76.5207188032712,0.0713522089694529,1.75,0,5.57794873638969,1,6,4871.46025859422,76.0283179312462,52.0114662215706,-3.61219800519472,216.731880311683,0,100,0,0,1,0,1.5,1.4,2.56132093875478E-06,7.78886167481541E-06,-3.12150075164626E-05,1.71298242567689,-0.00293173922279736,0,2537.17780199481,
76.756228690043,0.0831137294318238,2,0,5.5621561176096,1,6,4886.45328364492,75.9083737308406,52.0892361700869,-3.63446694047314,218.068016428388,0,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,6.62908803397932E-06,-1.03261489066108E-05,1.95681282995637,-0.00342036242659691,0,2537.15553305953,
76.9903526092665,0.0948391622124569,2.25,0,5.54644107584167,1,6,4901.35807526111,75.7891353979112,52.166047811627,-3.6566726533348,219.400359200088,0,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,2.20969601132644E-06,-3.94695581006094E-05,2.20064323423586,-0.00390898563039646,0,2537.13332734667,
