[Result Details]
Result Name,[68.75] EV - Brammo Empluse 150V, FSAE Endurance Nebraska 2012
Date Created,10/13/2014 3:30:33 PM
Track,FSAE Endurance Nebraska 2012
Track Configuration,Closed Circuit
Vehicle,EV - Brammo Empluse 150V

[KPI Values]
Lap time [s],68.7459722509975,
Percent in Corners [%],74.9002015172485,
Percent Accelerating [%],51.6725888421455,
Percent Braking [%],47.7485853826414,
Percent Coasting [%],0.210509360565616,
Percent 100% Throttle [%],18.4656613057807,
Percent TCS Enabled [%],74.9325361250962,
Lowest Speed [km/h],39.24892300117,
Highest Speed [km/h],95.1216382534973,
Average Speed [km/h],64.439171543862,
Energy Spent [kJ],804.729660551914,
Fuel Consumption [kg],1.15224750938132,
Gear Shifts [-],62,
Maximum Lateral Acceleration [m/s^2],-14.710375550653,
Maximum Longitudinal Acceleration [m/s^2],6.38151494894959,
Maximum Longitudinal Deceleration [m/s^2],-15.0672063514102,
Time in Sector 1 [s],68.7459722509975,
Maximum Speed in Sector 1 [km/h],95.1216382534973,
Minimum Speed in Sector 1 [km/h],39.24892300117,
Percent in Gear 1 [%],34.5940170940171,
Percent in Gear 2 [%],23.6324786324786,
Percent in Gear 3 [%],17.3290598290598,
Percent in Gear 4 [%],23.2905982905983,
Percent in Gear 5 [%],1.15384615384615,
Percent in Gear 6 [%],0,

[Vehicle Parameters]
Vehicle Mass [kg],309,
Drag Coefficient [-],0.6,
Downforce Coefficient [-],-0.01,
Frontal Area [m^2],1.3,
Drivetrain Efficiency [%],95,
Tire Rolling Radius [m],0.25,
Air Density [kg/m^3],1.23,
Final Drive Ratio [-],2.71,
Longitudinal Friction [-],1.4,
Lateral Friction [-],1.5,
Fuel Energy Density [J/kg],720000,
Engine Thermal Efficiency [%],97,
Tire Rolling Drag [-],0.03,
Power Scaling Factor [%],100,
Aero Scaling Factor [%],100,
Grip Scaling Factor [%],100,
Mass Lateral Friction [kg],0,
Load Sensitivity Lateral Friction [-],0,
Mass Longitudinal Friction [kg],0,
Load Sensitivity Longitudinal Friction [-],0,
Aero Efficiency [-],0.0166666666666667,
Rev Limit [rpm],8000,
Torque Data [N.m],0,
RPM Data [rpm],0,
Gear Ratio Data [-],0,
Gear Shift Points [rpm],0,

[Vehicle KPIs]
Shift Point [1 to 2] [rpm],6016.4964964965,
Shift Point [2 to 3] [rpm],5496.62662662663,
Shift Point [3 to 4] [rpm],5448.63863863864,
Shift Point [4 to 5] [rpm],5448.63863863864,
Shift Speed [1 to 2] [km/h],57.9613247142791,
Shift Speed [2 to 3] [km/h],64.8001569694274,
Shift Speed [3 to 4] [km/h],77.3434887531259,
Shift Speed [4 to 5] [km/h],91.5418103599799,
Top Speed [km/h],148.405363512021,
Acceleration Time To Speed [27.778 km/h] [s],4.75092146618973,
Acceleration Time For Distance [100 m] [s],7.14986399616622,
Deceleration Time For Speed [27.778 km/h] [s],2.48101197497311,
Deceleration Distance For Speed [27.778 km/h] [m],26.7000000000001,
Shift Point [5 to 6] [rpm],5248.68868868869,
Shift Speed [5 to 6] [km/h],104.30727564806,

[Simulation Results]
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
74.1395925709502,0,0.25,0,4.81295060725172,3,6.6395,5222.9328576632,0,0,-3.39089121116968,0,0,0,0,0,1,0,0,0,0,0,0,0.25,-4.59227382683391E-17,0,3027.89910878883,
74.3496807378755,0.0121392628255775,0.5,0,4.80736145056177,3,6.6395,5237.73299820876,70.2453400358248,51.6684490901127,-3.41013586662523,204.608151997514,0,100,100,0,1,0,1.5,1.4,0,0,0,0.493830404279482,-0.000488623203799598,0,3027.87986413337,
74.5579592744749,0.0242442240179868,0.75,0,4.77945762367751,3,6.6395,5252.40565521466,69.9518868957068,51.5967378610608,-3.42926850948597,205.756110569158,0,100,100,0,1,0,1.5,1.4,0,3.94024197369334E-06,3.40869473300019E-05,0.737660808558964,-0.00097724640759915,0,3027.86073149051,
74.7644533818531,0.036315369858859,1,0,4.75178371861974,3,6.6395,5266.95260403027,69.6609479193946,51.5244471935609,-3.44829006932491,206.897404159495,0,100,100,0,1,0,1.5,1.4,0,5.26444588968226E-06,1.14877503460628E-05,0.981491212838446,-0.0014658696113987,0,3027.84170993067,
74.9691877184587,0.0483531760527106,1.25,0,4.72433665580486,3,6.6395,5281.37558177628,69.3724883644744,51.4515990596923,-3.46720146310093,208.032087786056,0,100,100,0,1,0,1.5,1.4,8.53773646251594E-07,9.65678762169358E-06,3.82100312275353E-05,1.22532161711793,-0.00195449281519825,0,3027.8227985369,
75.1721864162657,0.0603581080439693,1.5,0,4.69711342052545,3,6.6395,5295.67628848471,69.0864742303059,51.3782147989672,-3.48600359542912,209.160215725747,0,100,100,0,1,0,1.5,1.4,1.70754729250319E-06,1.114229968322E-05,1.29582124599805E-05,1.46915202139741,-0.00244311601899781,0,3027.80399640457,
75.3734730963414,0.0723306213219023,1.75,0,4.6701110610361,3,6.6395,5309.85638819554,68.8028722360891,51.3043151393549,-3.50469735884307,210.281841530584,0,100,100,0,1,0,1.5,1.4,2.56132093875478E-06,7.67583024584615E-06,-3.03201025703304E-05,1.71298242567689,-0.00293173922279736,0,3027.78530264116,
75.5730708838245,0.0842711617140059,2,0,4.64332668671176,3,6.6395,5323.917510012,68.5216497997601,51.2299202174668,-3.52328363404926,211.397018042956,0,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,6.53094865948636E-06,-1.00407280933357E-05,1.95681282995637,-0.00342036242659691,0,3027.76671636595,
75.7710024223447,0.0961801656683846,2.25,0,4.61675746627505,3,6.6395,5337.86124911625,68.242775017675,51.1550495979401,-3.54176329017402,212.505797410441,0,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,2.17698288649545E-06,-3.82858408052967E-05,2.20064323423586,-0.00390898563039646,0,3027.74823670983,
75.9672898879061,0.108058060525621,2.5,0,4.59040062608966,3,6.6395,5351.68916774754,67.9662166450492,51.0797222920597,-3.56013718500314,213.608231100189,0,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,7.25660962165151E-07,-1.27953714309125E-05,2.44447363851534,-0.00439760883419601,0,3027.729862815,
