[Result Details]
Result Name,[68.63] FSAE No Aero EV - Emrax - 200V, FSAE Endurance Nebraska 2012
Date Created,10/13/2014 3:30:33 PM
Track,FSAE Endurance Nebraska 2012
Track Configuration,Closed Circuit
Vehicle,FSAE No Aero EV - Emrax - 200V

[KPI Values]
Lap time [s],68.629562946977,
Percent in Corners [%],75.1397382423877,
Percent Accelerating [%],50.95182997008,
Percent Braking [%],48.4683122458932,
Percent Coasting [%],0.237203579234499,
Percent 100% Throttle [%],17.5756366639888,
Percent TCS Enabled [%],96.6274604944941,
Lowest Speed [km/h],39.2351987229308,
Highest Speed [km/h],100.326149180257,
Average Speed [km/h],64.7308510922683,
Energy Spent [kJ],690.830440690972,
Fuel Consumption [kg],0.989161570290624,
Gear Shifts [-],0,
Maximum Lateral Acceleration [m/s^2],-14.7089712302381,
Maximum Longitudinal Acceleration [m/s^2],6.32361359581381,
Maximum Longitudinal Deceleration [m/s^2],-15.5474079487024,
Time in Sector 1 [s],68.629562946977,
Maximum Speed in Sector 1 [km/h],100.326149180257,
Minimum Speed in Sector 1 [km/h],39.2351987229308,
Percent in Gear 1 [%],100,

[Vehicle Parameters]
Vehicle Mass [kg],237,
Drag Coefficient [-],0.6,
Downforce Coefficient [-],-0.01,
Frontal Area [m^2],1.3,
Drivetrain Efficiency [%],95,
Tire Rolling Radius [m],0.25,
Air Density [kg/m^3],1.23,
Final Drive Ratio [-],4,
Longitudinal Friction [-],1.4,
Lateral Friction [-],1.5,
Fuel Energy Density [J/kg],720000,
Engine Thermal Efficiency [%],97,
Tire Rolling Drag [-],0.03,
Power Scaling Factor [%],100,
Aero Scaling Factor [%],100,
Grip Scaling Factor [%],100,
Mass Lateral Friction [kg],0,
Load Sensitivity Lateral Friction [-],0,
Mass Longitudinal Friction [kg],0,
Load Sensitivity Longitudinal Friction [-],0,
Aero Efficiency [-],0.0166666666666667,
Rev Limit [rpm],5000,
Torque Data [N.m],0,
RPM Data [rpm],0,
Gear Ratio Data [-],0,
Gear Shift Points [rpm],0,

[Vehicle KPIs]
Shift Point [1 to 2] [rpm],5000,
Shift Point [2 to 3] [rpm],5000,
Shift Point [3 to 4] [rpm],5000,
Shift Point [4 to 5] [rpm],5000,
Shift Speed [1 to 2] [km/h],23.9622827599947,
Shift Speed [2 to 3] [km/h],35.0265314509219,
Shift Speed [3 to 4] [km/h],43.8281855623039,
Shift Speed [4 to 5] [km/h],51.1602826218641,
Top Speed [km/h],117.809724509617,
Acceleration Time To Speed [27.778 km/h] [s],15.278874536822,
Acceleration Time For Distance [100 m] [s],16.395177433824,
Deceleration Time For Speed [27.778 km/h] [s],5.43039248286977,
Deceleration Distance For Speed [27.778 km/h] [m],26.4000000000001,

[Simulation Results]
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
74.9315307694505,0,0.25,0,5.68718146692579,1,4,3180.19293744013,0,0,-3.46371919414411,0,0,0,0,0,1,0,0,0,0,0,0,0.25,-4.59227382683391E-17,0,2321.50628080586,
75.1773911604855,0.012010965087169,0.5,0,5.68601711599695,1,4,3190.62757651846,124.025931058704,55.5716332913186,-3.4864863374124,209.189180244744,13.8172232278489,100,0,0,1,0,1.5,1.4,0,0,0,0.493830404279482,-0.000488623203799598,0,2321.48351366259,
75.4221963048902,0.0239826494740177,0.75,0,5.68018891944806,1,4,3201.01742953882,123.999912852306,55.7408991006579,-3.50922986305169,210.553791783101,13.7999416261583,100,0,0,1,0,1.5,1.4,0,3.98775307368499E-06,3.48820192597717E-05,0.737660808558964,-0.00097724640759915,0,2321.46077013695,
75.6659567524995,0.0359154762026613,1,0,5.67436676881289,1,4,3211.3629442501,123.94818527875,55.8977227414732,-3.53194979977721,211.916987986633,13.7826994286406,100,0,0,1,0,1.5,1.4,0,5.32979626891595E-06,1.17774637946634E-05,0.981491212838446,-0.0014658696113987,0,2321.43805020022,
75.9086828728856,0.0478098609250255,1.25,0,5.66855065674058,1,4,3221.66456075063,123.896677196247,56.0537315982729,-3.55464617618002,213.278770570801,13.7475623230848,100,0,0,1,0,1.5,1.4,8.53773646251594E-07,9.777635271047E-06,3.91593699032676E-05,1.22532161711793,-0.00195449281519825,0,2321.41535382382,
76.1503848596884,0.0596662120819427,1.5,0,5.66274057591206,1,4,3231.9227116719,123.84538644164,56.2089341187048,-3.57731902072977,214.639141243786,13.7125478659741,100,0,0,1,0,1.5,1.4,1.70754729250319E-06,1.12857251933373E-05,1.33200177078534E-05,1.46915202139741,-0.00244311601899781,0,2321.39268097927,
76.3910727348115,0.0714849310767095,1.75,0,5.65693651903935,1,4,3242.13782235674,123.794310888216,56.3633386073568,-3.59996836177733,215.99810170664,13.6776548898085,100,0,0,1,0,1.5,1.4,2.56132093875478E-06,7.77519183883578E-06,-3.11050794409762E-05,1.71298242567689,-0.00293173922279736,0,2321.37003163822,
76.6307563524913,0.0832664124433126,2,0,5.65113847886485,1,4,3252.31031103191,123.74344844484,56.5169532291457,-3.62259422755736,217.355653653441,13.6428822468444,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,6.61769880491259E-06,-1.02883825296154E-05,1.95681282995637,-0.00342036242659691,0,2321.34740577244,
