[Result Details]
Result Name,[68.78] FSAE No Aero EV - Remy - 200V, FSAE Endurance Nebraska 2012
Date Created,10/13/2014 3:30:33 PM
Track,FSAE Endurance Nebraska 2012
Track Configuration,Closed Circuit
Vehicle,FSAE No Aero EV - Remy - 200V

[KPI Values]
Lap time [s],68.7772910144078,
Percent in Corners [%],74.8616806674023,
Percent Accelerating [%],51.887266195165,
Percent Braking [%],47.5341710711202,
Percent Coasting [%],0.147923964273454,
Percent 100% Throttle [%],18.7168185920572,
Percent TCS Enabled [%],77.6263425471684,
Lowest Speed [km/h],39.248783193302,
Highest Speed [km/h],93.1106931107818,
Average Speed [km/h],64.3675065268315,
Energy Spent [kJ],784.079767151812,
Fuel Consumption [kg],1.1226800789688,
Gear Shifts [-],0,
Maximum Lateral Acceleration [m/s^2],-14.710360540941,
Maximum Longitudinal Acceleration [m/s^2],6.38089562982591,
Maximum Longitudinal Deceleration [m/s^2],-15.024805726202,
Time in Sector 1 [s],68.7772910144078,
Maximum Speed in Sector 1 [km/h],93.1106931107818,
Minimum Speed in Sector 1 [km/h],39.248783193302,
Percent in Gear 1 [%],100,

[Vehicle Parameters]
Vehicle Mass [kg],308,
Drag Coefficient [-],0.6,
Downforce Coefficient [-],-0.01,
Frontal Area [m^2],1.3,
Drivetrain Efficiency [%],95,
Tire Rolling Radius [m],0.25,
Air Density [kg/m^3],1.23,
Final Drive Ratio [-],3,
Longitudinal Friction [-],1.4,
Lateral Friction [-],1.5,
Fuel Energy Density [J/kg],720000,
Engine Thermal Efficiency [%],97,
Tire Rolling Drag [-],0.03,
Power Scaling Factor [%],100,
Aero Scaling Factor [%],100,
Grip Scaling Factor [%],100,
Mass Lateral Friction [kg],0,
Load Sensitivity Lateral Friction [-],0,
Mass Longitudinal Friction [kg],0,
Load Sensitivity Longitudinal Friction [-],0,
Aero Efficiency [-],0.0166666666666667,
Rev Limit [rpm],3000,
Torque Data [N.m],0,
RPM Data [rpm],0,
Gear Ratio Data [-],0,
Gear Shift Points [rpm],0,

[Vehicle KPIs]
Shift Point [1 to 2] [rpm],5000,
Shift Point [2 to 3] [rpm],5000,
Shift Point [3 to 4] [rpm],5000,
Shift Point [4 to 5] [rpm],5000,
Shift Speed [1 to 2] [km/h],23.9622827599947,
Shift Speed [2 to 3] [km/h],35.0265314509219,
Shift Speed [3 to 4] [km/h],43.8281855623039,
Shift Speed [4 to 5] [km/h],51.1602826218641,
Top Speed [km/h],94.2477796076938,
Acceleration Time To Speed [27.778 km/h] [s],0,
Acceleration Time For Distance [100 m] [s],6.03885612692682,
Deceleration Time For Speed [27.778 km/h] [s],0,
Deceleration Distance For Speed [27.778 km/h] [m],0,

[Simulation Results]
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
74.6586196299781,0,0.25,0,4.72683478241786,1,3,2376.45767170573,0,0,-3.43853443927506,0,0,0,0,0,1,0,0,0,0,0,0,0.25,-4.59227382683391E-17,0,3018.04146556073,
74.8634058407094,0.0120548706158856,0.5,0,4.71884438655807,1,3,2382.97621924871,152.553567112693,51.0512789016523,-3.45742389080985,207.445433448591,0,100,0,0,1,0,1.5,1.4,0,0,0,0.493830404279482,-0.000488623203799598,0,3018.02257610919,
75.0659064016365,0.0240767655576542,0.75,0,4.67897582582089,1,3,2389.4220122988,151.58669815518,50.8649362301546,-3.4761533934934,208.569203609604,0,100,0,0,1,0,1.5,1.4,0,3.96668288378116E-06,3.45527940677375E-05,0.737660808558964,-0.00097724640759915,0,3018.00384660651,
75.2661586585424,0.036066229791718,1,0,4.63954233753654,1,3,2395.79623960918,150.630564058623,50.6789411049506,-3.49472470219961,209.683482131977,0,100,0,0,1,0,1.5,1.4,0,5.29934765185788E-06,1.16399136312608E-05,0.981491212838446,-0.0014658696113987,0,3017.9852752978,
75.4641990538709,0.0480237949981875,1.25,0,4.60053698012142,1,3,2402.10006117886,149.737492352643,50.5110272383399,-3.5131395435219,210.788372611314,0,100,0,0,1,0,1.5,1.4,8.53773646251594E-07,9.72057896702883E-06,3.87194426839987E-05,1.22532161711793,-0.00195449281519825,0,3017.96686045648,
75.6601465882492,0.059949980014178,1.5,0,4.56389621556857,1,3,2408.33726491545,148.957841885568,50.3784994953815,-3.53140740471714,211.884444283028,0,100,0,0,1,0,1.5,1.4,1.70754729250319E-06,1.12149868218671E-05,1.31218846930289E-05,1.46915202139741,-0.00244311601899781,0,3017.94859259528,
75.8541985793818,0.0718452781411814,1.75,0,4.53148212803439,1,3,2414.51413163657,148.185733545429,50.2459077528185,-3.54954523454874,212.972714072925,0,100,0,0,1,0,1.5,1.4,2.56132093875478E-06,7.72577580658406E-06,-3.07171219401211E-05,1.71298242567689,-0.00293173922279736,0,3017.93045476545,
76.0463826274962,0.0837101454373291,2,0,4.49937251526624,1,3,2420.63153988473,147.421057514408,50.1132721215057,-3.5675542611317,214.053255667902,0,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,6.57293241112131E-06,-1.0175038207412E-05,1.95681282995637,-0.00342036242659691,0,3017.91244573887,
76.2367257294015,0.0955450278985835,2.25,0,4.46756307345515,1,3,2426.69034899507,146.663706375617,49.9806120041131,-3.585435695044,215.12614170264,0,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,2.19097747037377E-06,-3.87732831181685E-05,2.20064323423586,-0.00390898563039646,0,3017.89456430496,
