[Result Details]
Result Name,[68.43] FSAE No Aero EV - Remy - 300V, FSAE Endurance Nebraska 2012
Date Created,10/13/2014 3:30:33 PM
Track,FSAE Endurance Nebraska 2012
Track Configuration,Closed Circuit
Vehicle,FSAE No Aero EV - Remy - 300V

[KPI Values]
Lap time [s],68.42742291157,
Percent in Corners [%],75.1975158935216,
Percent Accelerating [%],50.4604754252638,
Percent Braking [%],48.958021495748,
Percent Coasting [%],0.199150880818312,
Percent 100% Throttle [%],17.2107562405069,
Percent TCS Enabled [%],88.8220720962278,
Lowest Speed [km/h],39.2533371667907,
Highest Speed [km/h],101.073832324672,
Average Speed [km/h],64.9920286890898,
Energy Spent [kJ],971.066350673717,
Fuel Consumption [kg],1.39041573693258,
Gear Shifts [-],0,
Maximum Lateral Acceleration [m/s^2],-14.7108579660589,
Maximum Longitudinal Acceleration [m/s^2],6.4014249148969,
Maximum Longitudinal Deceleration [m/s^2],-15.0786955768131,
Time in Sector 1 [s],68.42742291157,
Maximum Speed in Sector 1 [km/h],101.073832324672,
Minimum Speed in Sector 1 [km/h],39.2533371667907,
Percent in Gear 1 [%],100,

[Vehicle Parameters]
Vehicle Mass [kg],345,
Drag Coefficient [-],0.6,
Downforce Coefficient [-],-0.01,
Frontal Area [m^2],1.3,
Drivetrain Efficiency [%],95,
Tire Rolling Radius [m],0.25,
Air Density [kg/m^3],1.23,
Final Drive Ratio [-],3,
Longitudinal Friction [-],1.4,
Lateral Friction [-],1.5,
Fuel Energy Density [J/kg],720000,
Engine Thermal Efficiency [%],97,
Tire Rolling Drag [-],0.03,
Power Scaling Factor [%],100,
Aero Scaling Factor [%],100,
Grip Scaling Factor [%],100,
Mass Lateral Friction [kg],0,
Load Sensitivity Lateral Friction [-],0,
Mass Longitudinal Friction [kg],0,
Load Sensitivity Longitudinal Friction [-],0,
Aero Efficiency [-],0.0166666666666667,
Rev Limit [rpm],3500,
Torque Data [N.m],0,
RPM Data [rpm],0,
Gear Ratio Data [-],0,
Gear Shift Points [rpm],0,

[Vehicle KPIs]
Shift Point [1 to 2] [rpm],5000,
Shift Point [2 to 3] [rpm],5000,
Shift Point [3 to 4] [rpm],5000,
Shift Point [4 to 5] [rpm],5000,
Shift Speed [1 to 2] [km/h],23.9622827599947,
Shift Speed [2 to 3] [km/h],35.0265314509219,
Shift Speed [3 to 4] [km/h],43.8281855623039,
Shift Speed [4 to 5] [km/h],51.1602826218641,
Top Speed [km/h],109.955742875643,
Acceleration Time To Speed [27.778 km/h] [s],4.50212240228558,
Acceleration Time For Distance [100 m] [s],5.79629700666429,
Deceleration Time For Speed [27.778 km/h] [s],2.24248266201185,
Deceleration Distance For Speed [27.778 km/h] [m],26.8000000000001,

[Simulation Results]
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
75.5304983445371,0,0.25,0,5.95464805218276,1,3,2404.21043314546,0,0,-3.51931521300093,0,0,0,0,0,1,0,0,0,0,0,0,0.25,-4.59227382683391E-17,0,3380.930684787,
75.7858964507823,0.0119157164288073,0.5,0,5.95381056819488,1,3,2412.3400073585,234.074499448112,79.2970760230409,-3.54315580989856,212.589348593913,11.5402777572204,100,0,0,1,0,1.5,1.4,0,0,0,0.493830404279482,-0.000488623203799598,0,3380.9068441901,
76.0402546292358,0.0237912769506055,0.75,0,5.94961807829987,1,3,2420.43647964185,233.467264026861,79.356815997051,-3.56697932029412,214.018759217647,11.3104829642822,100,0,0,1,0,1.5,1.4,0,4.02083030459943E-06,3.54560413466362E-05,0.737660808558964,-0.00097724640759915,0,3380.88302067971,
76.2935834579692,0.0356271131716743,1,0,5.94542859315292,1,3,2428.50018670597,232.862485997052,79.4149417300321,-3.59078576083956,215.447145650373,11.0804330180997,100,0,0,1,0,1.5,1.4,0,5.37440432719328E-06,1.19759970934746E-05,0.981491212838446,-0.0014658696113987,0,3380.85921423916,
76.545893332055,0.0474236491214612,1.25,0,5.94124210982569,1,3,2436.5314594363,232.260140542277,79.4714722195099,-3.61457514807784,216.87450888467,10.8501236129455,100,0,0,1,0,1.5,1.4,8.53773646251594E-07,9.8596700644563E-06,3.98164284542591E-05,1.22532161711793,-0.00195449281519825,0,3380.83542485192,
76.7971944680008,0.0591813014372531,1.5,0,5.93705862540904,1,3,2444.53062303438,231.660203272422,79.5264261335949,-3.63834749844573,218.300849906744,10.6195504826372,100,0,0,1,0,1.5,1.4,1.70754729250319E-06,1.13812473563888E-05,1.35519572383336E-05,1.46915202139741,-0.00244311601899781,0,3380.81165250155,
77.0474969080454,0.0709004795431018,1.75,0,5.93287813701246,1,3,2452.49799715459,231.062650213406,79.5798218189059,-3.66210282827647,219.726169696588,10.3887093993002,100,0,0,1,0,1.5,1.4,2.56132093875478E-06,7.84112076958872E-06,-3.16337191835394E-05,1.71298242567689,-0.00293173922279736,0,3380.78789717172,
77.2968105243234,0.0825815858232206,2,0,5.92870064176367,1,3,2460.43389603674,230.467457797244,79.6316773082505,-3.68584115380239,221.150469228144,10.1575961721684,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,6.67427003243947E-06,-1.04606807373575E-05,1.95681282995637,-0.00342036242659691,0,3380.7641588462,
