[Result Details]
Result Name,[65.72] FSAE Aero, FSAE Endurance Nebraska 2012
Date Created,10/13/2014 3:30:33 PM
Track,FSAE Endurance Nebraska 2012
Track Configuration,Closed Circuit
Vehicle,FSAE Aero

[KPI Values]
Lap time [s],65.7236952016768,
Percent in Corners [%],75.0728997864592,
Percent Accelerating [%],55.1155997682488,
Percent Braking [%],43.4931014978392,
Percent Coasting [%],0.164239127803484,
Percent 100% Throttle [%],19.1719230192075,
Percent TCS Enabled [%],85.9550880880129,
Lowest Speed [km/h],40.0976750645792,
Highest Speed [km/h],92.8313701198753,
Average Speed [km/h],67.8196738175015,
Energy Spent [kJ],798.469441359592,
Fuel Consumption [kg],0.0563890848417791,
Gear Shifts [-],46,
Maximum Lateral Acceleration [m/s^2],17.26541193845,
Maximum Longitudinal Acceleration [m/s^2],6.58037863078846,
Maximum Longitudinal Deceleration [m/s^2],-18.8533494080238,
Time in Sector 1 [s],65.7236952016768,
Maximum Speed in Sector 1 [km/h],92.8313701198753,
Minimum Speed in Sector 1 [km/h],40.0976750645792,
Percent in Gear 1 [%],8.16239316239316,
Percent in Gear 2 [%],16.9017094017094,
Percent in Gear 3 [%],36.3675213675214,
Percent in Gear 4 [%],38.5683760683761,

[Vehicle Parameters]
Vehicle Mass [kg],230,
Drag Coefficient [-],0.8,
Downforce Coefficient [-],1.2,
Frontal Area [m^2],1.1,
Drivetrain Efficiency [%],90,
Tire Rolling Radius [m],0.22,
Air Density [kg/m^3],1.226,
Final Drive Ratio [-],3.5,
Longitudinal Friction [-],1.4,
Lateral Friction [-],1.5,
Fuel Energy Density [J/kg],47200000,
Engine Thermal Efficiency [%],30,
Tire Rolling Drag [-],0.03,
Power Scaling Factor [%],100,
Aero Scaling Factor [%],100,
Grip Scaling Factor [%],100,
Mass Lateral Friction [kg],0,
Load Sensitivity Lateral Friction [-],0,
Mass Longitudinal Friction [kg],0,
Load Sensitivity Longitudinal Friction [-],0,
Aero Efficiency [-],1.5,
Rev Limit [rpm],10969,
Torque Data [N.m],0,
RPM Data [rpm],0,
Gear Ratio Data [-],0,
Gear Shift Points [rpm],0,

[Vehicle KPIs]
Shift Point [1 to 2] [rpm],10537.4504504504,
Shift Point [2 to 3] [rpm],10758.2432432432,
Shift Point [3 to 4] [rpm],10788.3513513514,
Shift Speed [1 to 2] [km/h],46.2410344317101,
Shift Speed [2 to 3] [km/h],56.6519157826369,
Shift Speed [3 to 4] [km/h],71.0130778756686,
Top Speed [km/h],92.8313701198753,
Acceleration Time To Speed [27.778 km/h] [s],0,
Acceleration Time For Distance [100 m] [s],4.75878292423156,
Deceleration Time For Speed [27.778 km/h] [s],0,
Deceleration Distance For Speed [27.778 km/h] [m],0,

[Simulation Results]
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
79.0488607372855,0,0.25,0,6.57834648788281,4,9.8,9340.45196475712,0,0,390.140139207283,0,0,0,0,0,1,0,0,0,0,0,0,0.25,-4.59227382683391E-17,0,2646.44013920728,
79.3184897670418,0.0113853633259953,0.5,0,6.57835420491605,4,9.8,9372.31146250639,71.0039911532091,93.4531672387111,392.806148777839,261.870765851893,35.2165556912742,100,0,0,1,0,1.5,1.4,0,0,0,0.493830404279482,-0.000488623203799598,0,2649.10614877784,
79.5872038193776,0.0227320241442143,0.75,0,6.57839284273591,4,9.8,9404.06284607712,70.6826973908863,93.3454574293103,395.472143226674,263.648095484449,34.8568529845952,100,0,0,1,0,1.5,1.4,0,4.20852499469799E-06,3.88410047608099E-05,0.737660808558964,-0.00097724640759915,0,2651.77214322667,
79.8550121726484,0.0340403746931611,1,0,6.57843148033662,4,9.8,9435.70721180428,70.3585377627153,93.2300274765938,398.138122968515,265.425415312343,34.4948832426221,100,0,0,1,0,1.5,1.4,0,5.6254334645889E-06,1.31211273785431E-05,0.981491212838446,-0.0014658696113987,0,2654.43812296852,
80.1219239493988,0.0453108006252764,1.25,0,6.57847011772418,4,9.8,9467.24563761222,70.0058053688107,93.0726870780943,400.804088409749,267.202725606499,34.1269250618792,100,0,0,1,0,1.5,1.4,8.53773646251594E-07,1.03202813088881E-05,4.36224255889145E-05,1.22532161711793,-0.00195449281519825,0,2657.10408840975,
80.3879481200035,0.0565436811608012,1.5,0,6.57850875490449,4,9.8,9498.67918344479,69.6542459746307,92.9127609826262,403.470039948647,268.980026632431,33.7285234212714,100,0,0,1,0,1.5,1.4,1.70754729250319E-06,1.19132711078534E-05,1.4850821312324E-05,1.46915202139741,-0.00244311601899781,0,2659.77003994865,
80.6530935061985,0.0677393892370476,1.75,0,6.57854739188331,4,9.8,9530.00889168261,69.3038479219708,92.7502748003253,406.135977975578,270.757318650385,33.3272098216969,100,0,0,1,0,1.5,1.4,2.56132093875478E-06,8.20770219527824E-06,-3.46602703876495E-05,1.71298242567689,-0.00293173922279736,0,2662.43597797558,
80.9173687845081,0.0788982916532436,2,0,6.57858602866631,4,9.8,9561.23578754803,68.9545997445286,92.5852537202126,408.801902873217,272.534601915478,32.9229490322614,100,0,0,1,0,1.5,1.4,3.41509458500638E-06,6.98648627029385E-06,-1.14603952828714E-05,1.95681282995637,-0.00342036242659691,0,2665.10190287322,
