[Result Details]
Result Name,[68.59] FSAE No Aero, FSAE Endurance Nebraska 2012
Date Created,10/13/2014 3:30:33 PM
Track,FSAE Endurance Nebraska 2012
Track Configuration,Closed Circuit
Vehicle,FSAE No Aero

[KPI Values]
Lap time [s],68.5942332260927,
Percent in Corners [%],75.1501791686445,
Percent Accelerating [%],50.9323979753809,
Percent Braking [%],48.4874567922519,
Percent Coasting [%],0.151956602837352,
Percent 100% Throttle [%],17.5445895540874,
Percent TCS Enabled [%],96.6089501836634,
Lowest Speed [km/h],39.2383740028399,
Highest Speed [km/h],100.570144164879,
Average Speed [km/h],64.7765664442639,
Energy Spent [kJ],766.678637092324,
Fuel Consumption [kg],0.0541439715460681,
Gear Shifts [-],38,
Maximum Lateral Acceleration [m/s^2],-14.7092846045019,
Maximum Longitudinal Acceleration [m/s^2],6.3365265534608,
Maximum Longitudinal Deceleration [m/s^2],-15.4652621010253,
Time in Sector 1 [s],68.5942332260927,
Maximum Speed in Sector 1 [km/h],100.570144164879,
Minimum Speed in Sector 1 [km/h],39.2383740028399,
Percent in Gear 1 [%],49.4230769230769,
Percent in Gear 2 [%],42.3504273504273,
Percent in Gear 3 [%],8.22649572649573,
Percent in Gear 4 [%],0,
Percent in Gear 5 [%],0,

[Vehicle Parameters]
Vehicle Mass [kg],250,
Drag Coefficient [-],0.6,
Downforce Coefficient [-],-0.01,
Frontal Area [m^2],1.3,
Drivetrain Efficiency [%],90,
Tire Rolling Radius [m],0.25,
Air Density [kg/m^3],1.23,
Final Drive Ratio [-],6.91,
Longitudinal Friction [-],1.4,
Lateral Friction [-],1.5,
Fuel Energy Density [J/kg],47200000,
Engine Thermal Efficiency [%],30,
Tire Rolling Drag [-],0.03,
Power Scaling Factor [%],100,
Aero Scaling Factor [%],100,
Grip Scaling Factor [%],100,
Mass Lateral Friction [kg],0,
Load Sensitivity Lateral Friction [-],0,
Mass Longitudinal Friction [kg],0,
Load Sensitivity Longitudinal Friction [-],0,
Aero Efficiency [-],0.0166666666666667,
Rev Limit [rpm],12962,
Torque Data [N.m],0,
RPM Data [rpm],0,
Gear Ratio Data [-],0,
Gear Shift Points [rpm],0,

[Vehicle KPIs]
Shift Point [1 to 2] [rpm],12962,
Shift Point [2 to 3] [rpm],12467.8618618619,
Shift Point [3 to 4] [rpm],12069.3633633634,
Shift Point [4 to 5] [rpm],11862.1441441441,
Shift Speed [1 to 2] [km/h],62.1198218270102,
Shift Speed [2 to 3] [km/h],87.3411911260507,
Shift Speed [3 to 4] [km/h],105.795659421672,
Shift Speed [4 to 5] [km/h],121.374129383141,
Top Speed [km/h],148.565557075354,
Acceleration Time To Speed [27.778 km/h] [s],4.06645576535407,
Acceleration Time For Distance [100 m] [s],5.16607341595669,
Deceleration Time For Speed [27.778 km/h] [s],1.96216287103987,
Deceleration Distance For Speed [27.778 km/h] [m],26.4000000000001,

[Simulation Results]
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
75.0316793669842,0,0.25,0,5.73098851683539,2,13.45377,10710.6921894502,0,0,-3.47298414386545,0,0,0,0,0,1,0,0,0,0,0,0,0.25,-4.59227382683391E-17,0,2449.02701585613,
75.2791055084545,0.0119949334413541,0.5,0,5.72987620796673,2,13.45377,10746.0120072028,63.1166380780886,95.2479704132459,-3.49592709032357,209.755625419414,43.9951772987305,100,100,0,1,0,1.5,1.4,0,0,0,0.493830404279482,-0.000488623203799598,0,2449.00407290968,
75.5254787767762,0.0239504421302681,0.75,0,5.72430841372028,2,13.45377,10781.1815284366,63.0329011227701,95.4329185127923,-3.51884745879382,211.130847527629,43.9213965427613,100,100,0,1,0,1.5,1.4,0,3.99327904313338E-06,3.49776169632296E-05,0.737660808558964,-0.00097724640759915,0,2448.98115254121,
75.7708097254823,0.0358669505003779,1,0,5.71874609869992,2,13.45377,10816.2022596571,62.9495184293879,95.6162622644784,-3.54174527574149,212.504716544489,43.8474236633071,100,100,0,1,0,1.5,1.4,0,5.33724712230434E-06,1.18105072197525E-05,0.981491212838446,-0.0014658696113987,0,2448.95825472426,
76.0151087274076,0.0477448755649337,1.25,0,5.71318925648306,2,13.45377,10851.0756815755,62.8664864724393,95.7980198219811,-3.564620567511,213.87723405066,43.7735698920805,100,100,0,1,0,1.5,1.4,8.53773646251594E-07,9.79133674159177E-06,3.92687419459013E-05,1.22532161711793,-0.00195449281519825,0,2448.93537943249,
76.2583859790354,0.059584627096796,1.5,0,5.70763788067643,2,13.45377,10885.8032497289,62.7783335995895,95.9698497563478,-3.58747336032868,215.248401619721,43.6998337948853,100,100,0,1,0,1.5,1.4,1.70754729250319E-06,1.13016762425188E-05,1.33585896848421E-05,1.46915202139741,-0.00244311601899781,0,2448.91252663967,
76.5006515047102,0.071386607802858,1.75,0,5.70209196491544,2,13.45377,10920.3863950818,62.6681961940071,96.1058336848806,-3.61030368030538,216.618220818323,43.6213036323238,100,100,0,1,0,1.5,1.4,2.56132093875478E-06,7.78620073852988E-06,-3.11930465805449E-05,1.71298242567689,-0.00293173922279736,0,2448.88969631969,
76.7419151607216,0.083151213493106,2,0,5.69655150286349,2,13.45377,10954.8265246089,62.5585142528378,96.2401921110716,-3.63311155343908,217.986693206345,43.5227463488421,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,6.62714346690495E-06,-1.03170643241221E-05,1.95681282995637,-0.00342036242659691,0,2448.86688844656,
76.9821866392635,0.0948788332445172,2.25,0,5.6910164882114,2,13.45377,10989.1250218607,62.4492833698703,96.372943585761,-3.65589700561731,219.353820337039,43.4242534233399,100,100,0,1,0,1.5,1.4,3.41509458500638E-06,2.20904782230165E-06,-3.94506220192227E-05,2.20064323423586,-0.00390898563039646,0,2448.84410299438,
