[Result Details]
Result Name,[66.04] 2013, FSAE Endurance Nebraska 2012
Date Created,10/13/2014 3:30:33 PM
Track,FSAE Endurance Nebraska 2012
Track Configuration,Closed Circuit
Vehicle,2013

[KPI Values]
Lap time [s],66.0446946044847,
Percent in Corners [%],75.3324467471744,
Percent Accelerating [%],50.9071006646426,
Percent Braking [%],48.5094600684754,
Percent Coasting [%],0.26369345800332,
Percent 100% Throttle [%],17.5317936406452,
Percent TCS Enabled [%],86.4366072961371,
Lowest Speed [km/h],40.5315111166673,
Highest Speed [km/h],104.582050417904,
Average Speed [km/h],67.398430583987,
Energy Spent [kJ],776.614344547667,
Fuel Consumption [kg],Infinity,
Gear Shifts [-],50,
Maximum Lateral Acceleration [m/s^2],-15.6889627055908,
Maximum Longitudinal Acceleration [m/s^2],7.28052634188556,
Maximum Longitudinal Deceleration [m/s^2],-17.6773226203661,
Time in Sector 1 [s],66.0446946044847,
Maximum Speed in Sector 1 [km/h],104.582050417904,
Minimum Speed in Sector 1 [km/h],40.5315111166673,
Percent in Gear 1 [%],17.1794871794872,
Percent in Gear 2 [%],47.3076923076923,
Percent in Gear 3 [%],26.9230769230769,
Percent in Gear 4 [%],8.5042735042735,
Percent in Gear 5 [%],0.0854700854700855,
Percent in Gear 6 [%],0,

[Vehicle Parameters]
Mass Longitudinal Friction [kg],0,
Vehicle Mass [kg],231,
Drag Coefficient [-],0.6,
Downforce Coefficient [-],-0.01,
Frontal Area [m^2],1.3,
Drivetrain Efficiency [%],92,
Tire Rolling Radius [m],0.26,
Air Density [kg/m^3],1.23,
Longitudinal Friction [-],1.6,
Lateral Friction [-],1.6,
Final Drive Ratio [-],7.47,
Fuel Energy Density [J/kg],47200000,
Engine Thermal Efficiency [%],0,
Tire Rolling Drag [-],0.03,
Power Scaling Factor [%],100,
Aero Scaling Factor [%],100,
Grip Scaling Factor [%],100,
Mass Lateral Friction [kg],0,
Load Sensitivity Lateral Friction [-],0,
Load Sensitivity Longitudinal Friction [-],0,
Aero Efficiency [-],0.0166666666666667,
Rev Limit [rpm],11444,
Gear Shift Points [rpm],0,

[Vehicle KPIs]
Shift Point [1 to 2] [rpm],11444,
Shift Point [2 to 3] [rpm],11444,
Shift Point [3 to 4] [rpm],11444,
Shift Point [4 to 5] [rpm],11278.5295295295,
Shift Point [5 to 6] [rpm],11131.96996997,
Shift Speed [1 to 2] [km/h],53.0047925989718,
Shift Speed [2 to 3] [km/h],72.8237523922827,
Shift Speed [3 to 4] [km/h],91.1733924911275,
Shift Speed [4 to 5] [km/h],104.14592171302,
Shift Speed [5 to 6] [km/h],114.833547020615,
Top Speed [km/h],128.015837538693,
Acceleration Time To Speed [27.778 km/h] [s],2.88290996829022,
Acceleration Time For Distance [100 m] [s],4.13861370390618,
Deceleration Time For Speed [27.778 km/h] [s],2.08675033134284,
Deceleration Distance For Speed [27.778 km/h] [m],24.8000000000001,

[Simulation Results]
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
78.5791480996699,0,0.25,0,6.55299191572905,3,12.30309,9863.18207847901,0,0,-3.80915020956624,0,0,0,0,0,1,0,0,0,0,0,0,0.25,-4.59227382683391E-17,0,2262.30084979043,
78.8492862619822,0.0114534201727211,0.5,0,6.55161316781238,3,12.30309,9897.08957106029,45.0846422667718,62.6614845166205,-3.83538530111667,230.123118067,7.93219618910125,100,0,0,1,0,1.6,1.6,0,0,0,0.493830404279482,-0.000488623203799598,0,2262.27461469888,
79.1182153286513,0.0228676008542011,0.75,0,6.54471140801359,3,12.30309,9930.84529907338,45.0148028295033,62.7778039709375,-3.86159240079805,231.695544047883,7.79000449306648,100,0,0,1,0,1.6,1.6,0,4.18380433590662E-06,3.83844428041685E-05,0.737660808558964,-0.00097724640759915,0,2262.2484075992,
79.3859479491526,0.0342429838334741,1,0,6.53781701213637,3,12.30309,9964.45085026876,44.9627452813116,62.9173960300514,-3.88777154402975,233.266292641785,7.64801264852383,100,0,0,1,0,1.6,1.6,0,5.59245344591193E-06,1.29677734910609E-05,0.981491212838446,-0.0014658696113987,0,2262.22222845597,
79.6524965468861,0.0455800028305447,1.25,0,6.53092997086282,3,12.30309,9997.90778402012,44.9156228394083,63.0624884233991,-3.9139227660635,234.83536596381,7.54215812240183,100,0,0,1,0,1.6,1.6,8.53773646251594E-07,1.02597933925213E-05,4.31120999616774E-05,1.22532161711793,-0.00195449281519825,0,2262.19607723394,
79.9178733248544,0.0568790837007875,1.5,0,6.52405027491914,3,12.30309,10031.2176320371,44.8687075605112,63.2065030661772,-3.94004610198734,236.40276611924,7.44622752226861,100,0,0,1,0,1.6,1.6,1.70754729250319E-06,1.18435458212575E-05,1.46781997944811E-05,1.46915202139741,-0.00244311601899781,0,2262.16995389801,
80.1820902711564,0.0681406446327411,1.75,0,6.51717791507459,3,12.30309,10064.3818990547,44.8219973252751,63.3494522487752,-3.96614158672945,237.968495203767,7.35052205404951,100,0,0,1,0,1.6,1.6,2.56132093875478E-06,8.15968651506325E-06,-3.42557170156893E-05,1.71298242567689,-0.00293173922279736,0,2262.14385841327,
80.445159164307,0.0793650963395552,2,0,6.51031288214048,3,12.30309,10097.4020635013,44.7870133854468,63.5076880556904,-3.99220925506177,239.532555303706,7.25503936782425,100,0,0,1,0,1.6,1.6,3.41509458500638E-06,6.94565819482847E-06,-1.1326410565439E-05,1.95681282995637,-0.00342036242659691,0,2262.11779074494,
80.7070915783872,0.0905528422443371,2.25,0,6.50345516696925,3,12.30309,10130.279578145,44.7624779267575,63.6795670383623,-4.01824914160357,241.094948496214,7.18366419019153,100,0,0,1,0,1.6,1.6,3.41509458500638E-06,2.31521939827616E-06,-4.33419225819452E-05,2.20064323423586,-0.00390898563039646,0,2262.0917508584,
